"team","latitude","longitude","timezone"
"ATL",33.757233,-84.39634,"Eastern"
"BOS",42.36631,-71.062226,"Eastern"
"BKN",40.682657,-73.975282,"Eastern"
"CHA",35.225186,-80.839336,"Eastern"
"CHI",41.880629,-87.674048,"Central"
"CLE",41.496577,-81.688076,"Eastern"
"DAL",32.790314,-96.810148,"Central"
"DEN",39.74855,-105.007711,"Mountain"
"DET",42.341949,-83.054694,"Eastern"
"GSW",37.7679273,-122.3873263,"Pacific"
"HOU",29.750907,-95.362061,"Central"
"IND",39.76399,-86.155566,"Eastern"
"LAC",34.043006,-118.26736,"Pacific"
"LAL",34.043006,-118.26736,"Pacific"
"MEM",35.138213,-90.050449,"Central"
"MIA",25.781349,-80.187441,"Eastern"
"MIL",43.043625,-87.916838,"Central"
"MIN",44.979455,-93.27619,"Central"
"NOP",29.949003,-90.081904,"Central"
"NYK",40.750562,-73.993471,"Eastern"
"OKC",35.4635356002585,-97.515298025795,"Central"
"ORL",28.538954,-81.384276,"Eastern"
"PHI",39.90118,-75.171972,"Eastern"
"PHX",33.44583,-112.071206,"Mountain"
"POR",45.531497,-122.666783,"Pacific"
"SAC",38.580207,-121.49935,"Pacific"
"SAS",29.4270019661229,-98.4374817473602,"Central"
"TOR",43.643521,-79.379082,"Eastern"
"UTA",40.768262,-111.901091,"Mountain"
"WAS",38.898006,-77.021002,"Eastern"
